osm_id,osm_type,latitude,longitude,name,operator,normalized_category,relevance_tier,facility_type,source_tile,raw_tags
4247448043,node,10.8417191,77.5036263,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448044,node,10.8442528,77.4974191,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448045,node,10.8450683,77.484975,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448046,node,10.8452818,77.507995,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448047,node,10.8459516,77.4920915,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448048,node,10.8504171,77.4907967,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448049,node,10.8505724,77.4964998,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448050,node,10.8527274,77.505356,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448051,node,10.8551348,77.4896304,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448052,node,10.8562997,77.4832848,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247448053,node,10.8572219,77.4992674,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4291760629,node,11.7703449,77.8141833,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""generator:method"": ""combustion"", ""generator:output:electricity"": ""210 MW"", ""generator:source"": ""coal"", ""generator:type"": ""steam_turbine"", ""power"": ""generator""}"
4291760631,node,11.7707381,77.8136106,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""generator:method"": ""combustion"", ""generator:output:electricity"": ""210 MW"", ""generator:source"": ""coal"", ""generator:type"": ""steam_turbine"", ""power"": ""generator""}"
4291760633,node,11.7711361,77.813031,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""generator:method"": ""combustion"", ""generator:output:electricity"": ""210 MW"", ""generator:source"": ""coal"", ""generator:type"": ""steam_turbine"", ""power"": ""generator""}"
4291760636,node,11.7714724,77.8125411,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""generator:method"": ""combustion"", ""generator:output:electricity"": ""210 MW"", ""generator:source"": ""coal"", ""generator:type"": ""steam_turbine"", ""power"": ""generator""}"
4291760641,node,11.7763571,77.8204621,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""generator:output:electricity"": ""600 MW"", ""generator:source"": ""coal"", ""generator:type"": ""steam_turbine"", ""power"": ""generator""}"
4302900210,node,11.6581019,78.196466,,,Manufacturing & Industrial Works,HIGHER_RELEVANCE,Industrial Works,tile_3_2,"{""man_made"": ""works""}"
4391401194,node,10.9607061,78.0703156,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""power"": ""generator""}"
4979966300,node,10.918266,77.5059197,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
