event_id,processing_status,pre_event_status,post_event_status,is_real_cdse_data,processing_timestamp,error_category
FIRMS_TN_0118,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:28:55Z,MISSING_PRODUCT
FIRMS_TN_0119,REAL_CDSE_SUCCESS,REAL_CDSE_SUCCESS,REAL_CDSE_SUCCESS,True,2026-09-05T16:29:02Z,
FIRMS_TN_0120,REAL_CDSE_SUCCESS,REAL_CDSE_SUCCESS,REAL_CDSE_SUCCESS,True,2026-09-05T16:29:08Z,
FIRMS_TN_0121,REAL_CDSE_SUCCESS,REAL_CDSE_SUCCESS,REAL_CDSE_SUCCESS,True,2026-09-05T16:29:16Z,
FIRMS_TN_0122,PARTIAL_POST_ONLY,MISSING_PRODUCT,REAL_CDSE_SUCCESS,True,2026-09-05T16:29:22Z,
FIRMS_TN_0123,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:29:28Z,CLOUD_REJECTED
FIRMS_TN_0124,CLOUD_REJECTED,CLOUD_REJECTED,CLOUD_REJECTED,True,2026-09-05T16:29:34Z,CLOUD_REJECTED
FIRMS_TN_0125,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,CLOUD_REJECTED,True,2026-09-05T16:29:41Z,
FIRMS_TN_0126,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:29:48Z,MISSING_PRODUCT
FIRMS_TN_0127,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:29:55Z,MISSING_PRODUCT
FIRMS_TN_0128,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:30:01Z,MISSING_PRODUCT
FIRMS_TN_0129,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:30:06Z,MISSING_PRODUCT
FIRMS_TN_0130,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:30:11Z,MISSING_PRODUCT
FIRMS_TN_0131,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:30:15Z,MISSING_PRODUCT
FIRMS_TN_0132,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,CLOUD_REJECTED,True,2026-09-05T16:30:22Z,
FIRMS_TN_0133,CLOUD_REJECTED,CLOUD_REJECTED,CLOUD_REJECTED,True,2026-09-05T16:30:29Z,CLOUD_REJECTED
FIRMS_TN_0134,CLOUD_REJECTED,CLOUD_REJECTED,CLOUD_REJECTED,True,2026-09-05T16:30:34Z,CLOUD_REJECTED
FIRMS_TN_0135,CLOUD_REJECTED,CLOUD_REJECTED,CLOUD_REJECTED,True,2026-09-05T16:30:41Z,CLOUD_REJECTED
FIRMS_TN_0136,CLOUD_REJECTED,CLOUD_REJECTED,CLOUD_REJECTED,True,2026-09-05T16:30:49Z,CLOUD_REJECTED
FIRMS_TN_0137,CLOUD_REJECTED,CLOUD_REJECTED,CLOUD_REJECTED,True,2026-09-05T16:30:57Z,CLOUD_REJECTED
FIRMS_TN_0138,PARTIAL_POST_ONLY,CLOUD_REJECTED,REAL_CDSE_SUCCESS,True,2026-09-05T16:31:03Z,
FIRMS_TN_0139,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,CLOUD_REJECTED,True,2026-09-05T16:31:14Z,
FIRMS_TN_0140,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,CLOUD_REJECTED,True,2026-09-05T16:31:22Z,
FIRMS_TN_0141,CLOUD_REJECTED,CLOUD_REJECTED,CLOUD_REJECTED,True,2026-09-05T16:31:31Z,CLOUD_REJECTED
FIRMS_TN_0142,CLOUD_REJECTED,CLOUD_REJECTED,CLOUD_REJECTED,True,2026-09-05T16:31:36Z,CLOUD_REJECTED
FIRMS_TN_0143,CLOUD_REJECTED,CLOUD_REJECTED,CLOUD_REJECTED,True,2026-09-05T16:31:43Z,CLOUD_REJECTED
FIRMS_TN_0144,CLOUD_REJECTED,CLOUD_REJECTED,CLOUD_REJECTED,True,2026-09-05T16:31:52Z,CLOUD_REJECTED
