latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,satellite_source,row_id,landcover_code,landcover_class,osm_coverage_status,distance_to_facility_m,distance_to_facility_km,nearest_facility_osm_id,nearest_facility_osm_type,nearest_facility_name,nearest_facility_type,nearest_facility_category,nearest_facility_tier,near_industrial_500m,near_industrial_1000m,near_industrial_2000m,near_industrial_5000m,near_industrial_10000m,distance_to_higher_relevance_m,distance_to_higher_relevance_km,nearest_hr_osm_id,nearest_hr_name,nearest_hr_category,near_higher_relevance_500m,near_higher_relevance_1000m,near_higher_relevance_2000m,near_higher_relevance_5000m,near_higher_relevance_10000m,distance_to_general_context_m
11.17264,79.26752,332.76,0.43,0.46,2024-11-10,735,N20,VIIRS,n,2.0NRT,303.05,8.09,D,VIIRS_N20,46,10,Tree cover,COVERED,10369.192746213672,10.369192746213672,1000877896,way,,Mining,Mining & Quarry,HIGHER_RELEVANCE,0,0,0,0,0,10369.192746213672,10.369192746213672,1000877896,,Mining & Quarry,0,0,0,0,0,12736.85169397191
11.17331,79.27145,341.73,0.43,0.46,2024-11-10,735,N20,VIIRS,n,2.0NRT,303.22,10.13,D,VIIRS_N20,47,10,Tree cover,COVERED,10140.75941602158,10.140759416021579,341305254,way,Jayankondam,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,0,0,0,0,10670.155552068016,10.670155552068016,1000877896,,Mining & Quarry,0,0,0,0,0,13131.940959092915
9.28159,78.86513,334.38,0.5,0.49,2024-11-10,735,N20,VIIRS,n,2.0NRT,299.92,2.26,D,VIIRS_N20,48,30,Grassland,COVERED,6623.247135592411,6.623247135592411,385335096,way,Rajasuriyamadai,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,0,0,0,1,8039.875422715919,8.03987542271592,969654405,Valantharavai Combined Cycle Gas Power Plant,Power Plant,0,0,0,0,1,8027.6514729101455
13.18365,79.56056,339.41,0.39,0.44,2024-11-10,737,N20,VIIRS,n,2.0NRT,300.13,5.94,D,VIIRS_N20,49,40,Cropland,FAILED_TILE,112863.87556154594,112.86387556154594,1026841614,way,,Mining,Mining & Quarry,HIGHER_RELEVANCE,0,0,0,0,0,112863.87556154594,112.86387556154594,1026841614,,Mining & Quarry,0,0,0,0,0,120725.07740771976
11.81621,77.91726,325.29,0.42,0.37,2024-11-10,2010,N20,VIIRS,n,2.0NRT,292.1,3.35,N,VIIRS_N20,50,50,Built-up,COVERED,217.38376114187676,0.21738376114187677,876239837,way,JSW Steel Plant,Manufacturing,Steel / Metallurgy,HIGHER_RELEVANCE,1,1,1,1,1,217.38376114187676,0.21738376114187677,876239837,JSW Steel Plant,Steel / Metallurgy,1,1,1,1,1,1769.1777222770281
11.81612,77.91793,329.91,0.42,0.37,2024-11-10,2010,N20,VIIRS,n,2.0NRT,292.9,3.93,N,VIIRS_N20,51,60,Bare/sparse vegetation,COVERED,184.0999649636778,0.18409996496367778,876239837,way,JSW Steel Plant,Manufacturing,Steel / Metallurgy,HIGHER_RELEVANCE,1,1,1,1,1,184.0999649636778,0.18409996496367778,876239837,JSW Steel Plant,Steel / Metallurgy,1,1,1,1,1,1837.225324178608
12.29693,79.69377,329.6,0.41,0.6,2024-11-11,718,N20,VIIRS,n,2.0NRT,289.95,1.67,D,VIIRS_N20,52,30,Grassland,FAILED_TILE,14131.512146807774,14.131512146807774,1026841614,way,,Mining,Mining & Quarry,HIGHER_RELEVANCE,0,0,0,0,0,14131.512146807774,14.131512146807774,1026841614,,Mining & Quarry,0,0,0,0,0,30221.97411743814
11.20259,77.5637,304.3,0.52,0.41,2024-11-14,2036,N20,VIIRS,n,2.0NRT,279.75,0.92,N,VIIRS_N20,53,30,Grassland,COVERED,520.3661417401237,0.5203661417401236,823591866,way,,Mining,Mining & Quarry,HIGHER_RELEVANCE,0,1,1,1,1,520.3661417401237,0.5203661417401236,823591866,,Mining & Quarry,0,1,1,1,1,1757.4399709236686
11.81859,77.91496,300.99,0.53,0.42,2024-11-14,2036,N20,VIIRS,n,2.0NRT,286.54,0.79,N,VIIRS_N20,54,50,Built-up,COVERED,527.9437968338219,0.5279437968338219,340479236,way,,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,1,1,1,1,576.8278152633466,0.5768278152633466,876239837,JSW Steel Plant,Steel / Metallurgy,0,1,1,1,1,1627.991881416825
11.20184,77.56679,302.92,0.52,0.41,2024-11-14,2036,N20,VIIRS,n,2.0NRT,279.07,0.69,N,VIIRS_N20,55,60,Bare/sparse vegetation,COVERED,264.3672600774778,0.2643672600774778,823591866,way,,Mining,Mining & Quarry,HIGHER_RELEVANCE,1,1,1,1,1,264.3672600774778,0.2643672600774778,823591866,,Mining & Quarry,1,1,1,1,1,1535.7808659409693
